
 num     #instances         #bytes  class name
 270:             1             32  sun.nio.ch.FileChannelImpl$Unmapper
 271:             2             32  sun.net.www.protocol.jar.Handler
 272:             1             32  java.lang.ArithmeticException
 273:             1             24  java.security.CodeSigner
 274:             1             24  [Ljava.security.ProtectionDomain;
 275:             1             24  org.eclipse.jdt.internal.junit.runner.TestIdMap
 276:             1             24  java.util.regex.Pattern$Start
 277:             1             24  org.junit.runner.notification.RunNotifier
 278:             1             24  org.eclipse.jdt.internal.junit.runner.FirstRunExecutionListener
 279:             1             24  java.security.Policy$UnsupportedEmptyCollection
 280:             1             24  org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference$1
 281:             1             24  java.math.MutableBigInteger
 282:             1             24  [Ljava.net.InetAddress$Cache$Type;
 283:             1             24  java.lang.reflect.ReflectPermission
 284:             1             24  sun.security.provider.certpath.X509CertPath
 285:             1             24  java.util.BitSet
 286:             1             24  com.dianping.fkv.FkvPerfTest
 287:             1             24  java.net.Inet6AddressImpl
 288:             1             24  [Lorg.eclipse.jdt.internal.junit.runner.ITestReference;
 289:             1             24  sun.nio.cs.UTF_8
 290:             1             24  org.eclipse.jdt.internal.junit4.runner.JUnit4TestClassReference
 291:             1             24  sun.misc.RegexpPool
 292:             1             24  java.util.Collections$UnmodifiableRandomAccessList
 293:             1             24  java.lang.ProcessEnvironment$StringEnvironment
 294:             1             24  com.apple.java.Usage
 295:             1             24  java.util.ArrayDeque
 296:             1             24  java.util.Collections$EmptyMap
 297:             1             24  org.junit.internal.runners.JUnit4ClassRunner$1
 298:             1             24  sun.nio.cs.US_ASCII
 299:             1             24  org.junit.internal.runners.TestMethod
 300:             1             24  sun.nio.ch.NativeThreadSet
 301:             1             24  java.io.InputStreamReader
 302:             1             24  org.junit.internal.runners.JUnit4ClassRunner
 303:             1             16  java.util.Collections$EmptySet
 304:             1             16  java.security.ProtectionDomain$2
 305:             1             16  org.junit.internal.runners.MethodRoadie$2
 306:             1             16  java.lang.InheritableThreadLocal
 307:             1             16  sun.nio.ch.Util$1
 308:             1             16  sun.security.x509.GeneralName
 309:             1             16  sun.misc.Launcher$Factory
 310:             1             16  sun.text.normalizer.NormalizerBase$NFKCMode
 311:             1             16  java.io.FileDescriptor$1
 312:             1             16  sun.net.www.protocol.file.Handler
 313:             1             16  sun.misc.Launcher
 314:             1             16  java.net.URLClassLoader$7
 315:             1             16  java.util.Collections$ReverseComparator
 316:             1             16  sun.nio.ch.FileDispatcher
 317:             1             16  java.util.concurrent.locks.ReentrantLock
 318:             1             16  java.util.regex.Pattern$LastNode
 319:             1             16  java.net.UnknownContentHandler
 320:             1             16  java.lang.Runtime
 321:             1             16  sun.security.util.ByteArrayTagOrder
 322:             1             16  sun.text.normalizer.NormalizerBase$Mode
 323:             1             16  sun.text.normalizer.NormalizerBase$NFKDMode
 324:             1             16  sun.security.x509.GeneralNames
 325:             1             16  java.nio.channels.spi.AbstractInterruptibleChannel$1
 326:             1             16  org.junit.runner.Result$Listener
 327:             1             16  sun.jkernel.DownloadManager$1
 328:             1             16  sun.text.normalizer.NormalizerBase$NFCMode
 329:             1             16  java.lang.System$2
 330:             1             16  org.eclipse.jdt.internal.junit.runner.DefaultClassifier
 331:             1             16  java.security.AccessControlContext$1
 332:             1             16  java.nio.Bits$1
 333:             1             16  java.util.Collections$EmptyList
 334:             1             16  sun.misc.ASCIICaseInsensitiveComparator
 335:             1             16  sun.security.x509.RFC822Name
 336:             1             16  org.eclipse.jdt.internal.junit4.runner.JUnit4TestLoader
 337:             1             16  org.eclipse.jdt.internal.junit4.runner.JUnit4TestListener
 338:             1             16  java.lang.ApplicationShutdownHooks$1
 339:             1             16  org.junit.internal.runners.TestClass
 340:             1             16  [Ljava.security.Provider;
 341:             1             16  sun.security.util.ByteArrayLexOrder
 342:             1             16  java.nio.charset.CoderResult$1
 343:             1             16  com.apple.java.Usage$1
 344:             1             16  java.util.Hashtable$EmptyIterator
 345:             1             16  java.util.Hashtable$EmptyEnumerator
 346:             1             16  java.lang.String$CaseInsensitiveComparator
 347:             1             16  java.util.jar.JarVerifier$3
 348:             1             16  java.nio.charset.CoderResult$2
 349:             1             16  java.util.jar.JavaUtilJarAccessImpl
 350:             1             16  java.lang.reflect.ReflectAccess
 351:             1             16  sun.text.normalizer.NormalizerBase$NFDMode
 352:             1             16  java.util.regex.Pattern$Node
 353:             1             16  java.lang.ref.Reference$Lock
 354:             1             16  java.util.regex.Pattern$5
 355:             1             16  sun.misc.Unsafe
 356:             1             16  sun.misc.FloatingDecimal$1
 357:             1             16  java.lang.Terminator$1
 358:             1             16  [Ljava.security.cert.Certificate;
 359:             1             16  java.net.InetAddress$1
 360:             1             16  sun.util.calendar.Gregorian
 361:             1             16  java.util.Collections$UnmodifiableCollection
 362:             1             16  sun.reflect.ReflectionFactory
 363:             1             16  [Ljava.lang.StackTraceElement;
Total       4140213      135952352
